city,country,lat,lng
Port Louis,Mauritius,-20.1644,57.5042
Port Moresby,Papua New Guinea,-9.4789,147.1494
Port of Spain,Trinidad and Tobago,10.6667,-61.5167
Port-Vila,Vanuatu,-17.7333,168.3167
Port-au-Prince,Haiti,18.5425,-72.3386
Porto-Novo,Benin,6.4972,2.605
Prague,Czechia,50.0875,14.4214
Praia,Cabo Verde,14.9177,-23.5092
Pretoria,South Africa,-25.7461,28.1881
Pristina,Kosovo,42.6666,21.1724
Putrajaya,Malaysia,2.914,101.7019
Pyongyang,"Korea, North",39.0167,125.7475
Quito,Ecuador,-0.22,-78.5125
Rabat,Morocco,34.0209,-6.8416
Rangoon,Burma,16.795,96.16
Reykjavík,Iceland,64.1458,-21.9425
Riga,Latvia,56.9475,24.1069
Riyadh,Saudi Arabia,24.65,46.71
Road Town,"Virgin Islands, British",18.4167,-64.6167
Rome,Italy,41.8931,12.4828
Roseau,Dominica,15.3014,-61.3883
Saint George’s,Grenada,12.05,-61.75
Saint Helier,Jersey,49.1858,-2.11
Saint John’s,Antigua and Barbuda,17.1167,-61.85
Saint Peter Port,Guernsey,49.4555,-2.5368
Saint-Denis,Reunion,-20.8789,55.4481
Saint-Pierre,Saint Pierre and Miquelon,46.7817,-56.1736
San José,Costa Rica,9.9325,-84.08
San Juan,Puerto Rico,18.3985,-66.061
San Marino,San Marino,43.9346,12.4473
San Salvador,El Salvador,13.6989,-89.1914
Sanaa,Yemen,15.3483,44.2064
Santiago,Chile,-33.4372,-70.6506
Santo Domingo,Dominican Republic,18.4764,-69.8933
Sarajevo,Bosnia and Herzegovina,43.8564,18.4131
Seoul,"Korea, South",37.5667,126.9833
Singapore,Singapore,1.3,103.8
Skopje,North Macedonia,41.9961,21.4317
Sofia,Bulgaria,42.6979,23.3217
Sri Jayewardenepura Kotte,Sri Lanka,6.9,79.9164
Stanley,Falkland Islands (Islas Malvinas),-51.7,-57.85
Stockholm,Sweden,59.3275,18.0547
Sucre,Bolivia,-19.0475,-65.26
Suva,Fiji,-18.1333,178.4333
São Tomé,Sao Tome and Principe,0.3361,6.7306
Taipei,Taiwan,25.0375,121.5625
Tallinn,Estonia,59.4372,24.7453
Tarawa,Kiribati,1.3382,173.0176
Tashkent,Uzbekistan,41.3111,69.2797
Tbilisi,Georgia,41.7225,44.7925
Tegucigalpa,Honduras,14.1057,-87.204
Tehran,Iran,35.6889,51.3897
The Hague,Netherlands,52.08,4.31
The Valley,Anguilla,18.2208,-63.0517
Thimphu,Bhutan,27.4722,89.6361
Tifariti,Morocco,26.158,-10.567
Tirana,Albania,41.3272,19.8186
Tokyo,Japan,35.687,139.7495
Tripoli,Libya,32.8872,13.1914
Tunis,Tunisia,36.8064,10.1817
Tórshavn,Faroe Islands,62.0,-6.7833
Ulaanbaatar,Mongolia,47.9214,106.9055
Vaduz,Liechtenstein,47.1406,9.5222
Valletta,Malta,35.8983,14.5125
Vatican City,Vatican City,41.904,12.453
Victoria,Seychelles,-4.6231,55.4525
Vienna,Austria,48.2083,16.3725
Vientiane,Laos,17.98,102.63
Vilnius,Lithuania,54.6872,25.28
Warsaw,Poland,52.23,21.0111
Washington,United States,38.9047,-77.0163
Wellington,New Zealand,-41.2889,174.7772
Willemstad,Curaçao,12.108,-68.935
Windhoek,Namibia,-22.57,17.0836
Yamoussoukro,Côte d’Ivoire,6.8161,-5.2742
Yaoundé,Cameroon,3.8667,11.5167
Yaren,Nauru,-0.5456,166.925
Yerevan,Armenia,40.1814,44.5144
Zagreb,Croatia,45.8131,15.9772
